Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
2014,5,8,17,0,14.8,,,MEXICO:  TECPAN,17.235,-100.746,17,6.4,9,,,,,,,,1,,,,1,,,,,,,,1,,,,1
2014,6,23,20,53,9.7,5571,,ALASKA:  ALEUTIAN ISLANDS,51.849,178.735,109,7.9,6,,,,,,,,,,,,,,,,,,,,,,,,
2014,7,7,11,23,54.8,,,MEXICO; GUATEMALA:  SAN MARCOS,14.724,-92.461,53,6.9,8,3,1,,,33,1,,1,,1,50,1,3,1,,,33,1,,1,,1,50,1
2014,7,15,9,8,40,,,OKLAHOMA:  HARRAH,35.524,-97.159,6,3.9,5,,,,,,,,2,,,,2,,,,,,,,2,,,,2
2014,7,25,10,54,50.4,5575,,ALASKA:  SOUTHEASTERN,58.335,-136.971,10,6,4,,,,,,,,,,,,,,,,,,,,,,,,
2014,7,29,10,46,14.7,,,MEXICO:  OAXACA,17.682,-95.653,107,6.3,7,1,1,,,1,1,,2,,,,2,1,1,,,1,1,,2,,,,2
2014,8,24,10,20,44.1,,,"CALIFORNIA:  NAPA, VALLEJO",38.215,-122.312,11,6,8,1,1,,,257,3,700,4,160,3,1034,4,1,1,,,257,3,700,4,160,3,1034,4
2015,7,27,4,49,46.4,5591,,ALASKA,52.376,-169.446,29,6.9,4,,,,,,,,,,,,,,,,,,,,,,,,
2015,12,17,19,49,53.1,,,MEXICO:  COCOTITLAN,15.802,-93.633,85,6.6,8,2,1,,,,,,,,,,,2,1,,,,,,,,,,
2016,1,24,10,30,29.6,,,ALASKA:  KENAI,59.62,-153.339,126,7.1,6,,,,,,,,1,4,1,,,,,,,,,,1,4,1,,
2016,11,7,1,44,24.5,,,OKLAHOMA:  CUSHING,35.991,-96.803,4,5,6,,,,,,1,20,3,,,50,1,,,,,,1,20,3,,,50,1
2017,5,1,12,31,3,5649,,ALASKA:  SKAGWAY; CANADA:  BRITISH COLUMBIA,59.821,-136.711,10,6.2,5,,,,,,,,,,,,,,,,,,,,,,,,
2017,9,8,4,49,19.2,5658,,"MEXICO: OAXACA, CHIAPAS, TABASCO; GUATEMALA",15.022,-93.899,47,8.2,9,98,2,,,251,3,4000,4,47468,4,94027,4,98,2,,,251,3,4000,4,47468,4,94027,4
2017,9,19,18,14,38.1,,,"MEXICO: MEXICO CITY, MORELOS, PUEBLA",18.55,-98.489,48,7.1,9,369,3,,,6000,4,8000,4,226,3,184000,4,369,3,,,6000,4,8000,4,226,3,184000,4
2017,9,23,12,53,1.5,,,MEXICO:  OAXACA,16.626,-95.078,10,6.1,7,5,1,,,7,1,,1,11,1,,,5,1,,,7,1,,1,11,1,,
2018,1,23,9,31,40.9,5673,,ALASKA:  KODIAK ISLAND,56.004,-149.166,14,7.9,4,,,,,,,,1,,,,,,,,,,,,1,,,,
2018,2,16,23,39,39.3,,,MEXICO:  OAXACA,16.386,-97.979,22,7.2,7,14,1,,,19,1,,2,,,1000,3,14,1,,,19,1,,2,,,1000,3
2018,3,4,23,17,17.4,,,"OKLAHOMA: BRECKENRIDGE, ENID",36.478,-97.741,8,4.2,6,,,,,,,,2,,,,2,,,,,,,,2,,2,,
2018,5,4,22,32,54.7,5678,6864,HAWAIIAN ISLANDS: PUNA DISTRICT,19.318,-155,6,6.9,7,,,,,,,,1,,,,,,,,,1,1,370,4,716,3,,
2018,11,30,17,29,16,,,ALASKA:  ANCHORAGE,61.316,-149.925,54,7,,,,,,117,3,150,4,2,1,1650,4,,,,,117,3,150,4,2,1,1650,4
2019,2,1,16,19,29,,,MEXICO:  CHIAPAS; GUATEMALA:  SAN MARCOS,14.68,-92.453,66,6.7,,,,,,4,1,,2,,,,3,,,,,4,1,,2,,,,3
2019,7,4,17,33,49,,,CALIFORNIA:  RIDGECREST;  NEVADA,35.705,-117.506,11,6.4,,1,1,,,,1,50,4,,,,1,1,1,,,,1,50,4,,,,1
2019,7,6,3,19,52,,,CALIFORNIA:  RIDGECREST,35.766,-117.605,8,7.1,,,,,,,1,5300,4,101,3,287,3,,,,,,1,5300,4,101,3,287,3
2020,3,18,13,9,31,,,UTAH,40.751,-112.078,12,5.7,6,,,,,,,100,4,,,,3,,,,,,,100,4,,,,3
2020,6,23,15,29,5,5751,,MEXICO: OAXACA,16.029,-95.901,26,7.4,,10,1,,,24,1,,4,,,8123,4,10,1,,,24,1,,4,,,8123,4
2020,7,22,6,12,44,5753,,ALASKA,55.03,-158.522,28,7.8,8,,,,,,,,1,,,,,,,,,,,,1,,,,
2020,8,9,12,7,37,,,NORTH CAROLINA:  SPARTA,36.476,-81.094,8,5.1,,,,,,,,,2,60,2,465,3,,,,,,,,2,60,2,465,3
2020,10,19,20,54,39,5755,,ALASKA,54.608,-159.655,33,7.6,8,,,,,,,,,,,,,,,,,,,,,,,,
2021,7,29,6,15,47,5799,,ALASKA PENINSULA,55.325,-157.841,32,8.2,8,,,,,,,,,,,,,,,,,,,,,,,,
2021,9,8,1,47,47,5806,,MEXICO:  GUERRERO,16.982,-99.773,20,7,7,3,1,,,,1,200,4,,,7317,4,3,1,,,,1,200,4,,,7317,4
2022,5,25,21,43,2,5850,,MEXICO:  OAXACA,16.325,-95.856,34,5.5,5,,,,,,,,,,,,,,,,,,,,,,,,
2022,9,19,18,5,6,5859,,"MEXICO:  MICHOACAN, COLIMA, JALISCO",18.367,-103.252,15,7.6,9,2,1,,,10,1,25,4,800,,6084,,2,1,,,10,1,25,4,800,,6084,4
2022,9,22,6,16,9,5861,,"MEXICO: MEXICO CITY, MICHOACAN",18.308,-102.923,24,6.8,8,3,1,,,5,1,,2,,,,,3,2,,,5,1,,2,,,,
2022,12,20,10,34,24,,,CALIFORNIA:  HUMBOLDT COUNTY,40.525,-124.423,17,6.4,8,2,1,,,17,1,250,4,150,3,,1,2,1,,,17,1,250,4,150,3,,1
2023,7,16,6,48,22,5883,,ALASKA PENINSULA,54.46,-160.76,32,7.2,6,,,,,,,,,,,,,1,1,,,,,,,,,,
